Date, Close/Last, Volume, Open, High, Low
11/25/2020, $98.2, 4027147, $98.5, $98.54, $97.94
11/24/2020, $98.3, 6323025, $97.51, $98.72, $97.4
11/23/2020, $96.88, 4805779, $97.62, $97.86, $96.42
11/20/2020, $97.01, 4610081, $97.42, $97.5388, $96.9522
11/19/2020, $97.76, 4252272, $97.24, $97.92, $96.86
11/18/2020, $97.91, 6039520, $98.63, $99.3264, $97.91
11/17/2020, $98.6, 8722293, $97.21, $98.775, $96.805
11/16/2020, $97.78, 9367636, $96.79, $97.81, $96.02
11/13/2020, $95.56, 5518003, $94.38, $95.59, $93.7
11/12/2020, $93.53, 7061844, $94.66, $94.755, $92.66
11/11/2020, $95.04, 8296547, $94.11, $95.83, $94.02
11/10/2020, $93.92, 10474700, $93.74, $95.27, $93.14
11/09/2020, $95.88, 16225770, $97.32, $97.65, $95.64
11/06/2020, $90.65, 6626107, $90.15, $91.2, $89.78
11/05/2020, $90.62, 6169717, $90.69, $91.16, $89.9
11/04/2020, $89.79, 10509390, $88.9, $91.285, $88.74
11/03/2020, $88.39, 6910439, $86.778, $89.06, $86.18
11/02/2020, $85.97, 8904850, $87.54, $87.765, $85.45
10/30/2020, $86.96, 11402800, $87.75, $88.39, $85.63
10/29/2020, $88.3, 8440044, $87.17, $89.11, $86.61
10/28/2020, $87.17, 12738750, $88.65, $88.95, $86.61
10/27/2020, $90.05, 8027508, $89.48, $90.345, $89.17
10/26/2020, $89.66, 7756413, $90.03, $91.13, $88.65
10/23/2020, $90.8, 7811524, $89.8, $90.96, $89.44
10/22/2020, $89.36, 4259035, $88.02, $89.38, $87.7
10/21/2020, $88.27, 4119201, $88.38, $89.16, $88.19
10/20/2020, $88.51, 4942578, $88.68, $89.715, $88.04
10/19/2020, $87.6, 5426622, $88.7, $89.57, $87.36
10/16/2020, $88.52, 4722554, $89.39, $89.63, $88.44
10/15/2020, $88.83, 5002626, $88.16, $88.87, $87.67
10/14/2020, $89.31, 4763260, $90.17, $90.6, $88.56
10/13/2020, $90.16, 5731971, $90.58, $90.85, $89.77
10/12/2020, $90.78, 5909054, $90.4595, $91.1, $89.9301
10/09/2020, $90.01, 6197682, $89.8, $90.33, $89.58
10/08/2020, $89.53, 4958766, $88.46, $89.61, $88.41
10/07/2020, $88.45, 5179285, $87.82, $88.98, $87.44
10/06/2020, $87.01, 7951077, $88.65, $89.28, $86.8
10/05/2020, $88.47, 7004835, $87.27, $88.675, $87.2
10/02/2020, $86.57, 5602288, $85.15, $87.13, $85.09
10/01/2020, $86.74, 7241186, $87.04, $87.45, $86.195
09/30/2020, $85.92, 10134360, $86.63, $87.16, $85.47
09/29/2020, $84.8, 4064974, $86.25, $86.25, $84.625
09/28/2020, $86.07, 5976196, $85.52, $86.24, $84.99
09/25/2020, $84.3, 5981463, $82.53, $84.69, $82.22
09/24/2020, $83.04, 4881473, $82.63, $84.14, $81.92
09/23/2020, $82.99, 6414658, $84.38, $84.9, $82.82
09/22/2020, $83.95, 4464961, $84.05, $84.39, $83.175
09/21/2020, $83.89, 7188830, $82.86, $83.95, $81.75
09/18/2020, $84.95, 10113450, $86.81, $87.24, $84.6
09/17/2020, $86.75, 7386586, $87.05, $87.32, $85.355
09/16/2020, $88.38, 7146989, $88, $89.43, $87.75
09/15/2020, $87.71, 8361907, $87.18, $88.25, $87.1706
09/14/2020, $86.63, 5535807, $85.752, $87.055, $85.64
09/11/2020, $85.27, 7103251, $84.95, $85.85, $84.15
09/10/2020, $84.88, 7551958, $85.8, $87.07, $84.5275
09/09/2020, $85.86, 6928650, $85.934, $86.827, $84.46
09/08/2020, $85.41, 11083140, $85.27, $87.5834, $84.77
09/04/2020, $86.27, 10349370, $87.095, $87.78, $85.31
09/03/2020, $86.48, 11036640, $88.602, $88.98, $85.69
09/02/2020, $88.35, 11378890, $86.505, $88.75, $86.29
09/01/2020, $86.05, 8168825, $84.7, $86.09, $84.23
08/31/2020, $84.47, 6401571, $84.632, $85.36, $84.025
08/28/2020, $85, 9303909, $83.79, $85.29, $83.43
08/27/2020, $83.41, 9099186, $82.75, $83.635, $82.5
08/26/2020, $82.41, 7934302, $82.42, $82.75, $81.88
08/25/2020, $82.72, 17659520, $80.06, $83.065, $79.79
08/24/2020, $78.68, 5867361, $77.71, $79.14, $77.25
08/21/2020, $77.07, 5594121, $76.94, $77.27, $76.69
08/20/2020, $77.22, 5099464, $77.03, $77.65, $76.4602
