column_a
"by Type and Value, 2016"
"[13,981 agencies; 2016 estimated population 273,294,030]"
Type of property
Type of property
Total
"Currency, notes, etc. "
Jewelry and precious metals
Clothing and furs
Locally stolen motor vehicles
Office equipment
"Televisions, radios, stereos, etc."
Firearms
Household goods
Consumable goods
Livestock
Miscellaneous

