state,university_college,campus,student_enrollment1,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition_2,rape_legacy_definition_3,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson4
,New Mexico Institute of  Mining and Technology,,2150,0,false,,0,0,0,92,3,88,1,
,New Mexico Military Institute,,428,2,false,,1,0,1,32,2,29,1,
,New Mexico State University,,15490,20,false,,6,3,11,267,34,223,10,
,University of New Mexico,,27285,23,false,,5,5,13,736,35,577,124,
,Western New Mexico University,,3354,1,false,,0,0,1,22,3,18,1,
NEW YORK,Cornell University,,21904,7,false,4,,1,2,217,19,196,2,1
,Ithaca College,,6769,10,false,10,,0,0,90,11,78,1,0
,State University of New York: ,Binghamton,16913,9,false,4,,2,3,166,10,156,0,2
,,Buffalo,29796,10,false,3,,3,4,268,23,243,2,1
,,Downstate Medical Center,1858,1,false,0,,1,0,69,0,69,0,0
,,Maritime College,1860,0,false,0,,0,0,25,5,20,0,0
,,Stony Brook,25272,14,false,3,,1,10,250,17,232,1,3
,,Upstate Medical Center,1480,2,false,0,,1,1,80,1,78,1,0
,State University of New York Agricultural and Technical College:,Alfred,3699,3,false,3,,0,0,47,5,41,1,0
,,Canton,3140,3,false,2,,0,1,39,2,37,0,0
,,Cobleskill,2441,2,false,1,,1,0,23,3,20,0,0
,,Farmingdale,8648,1,false,1,,0,0,41,1,39,1,0
,,Morrisville,2940,5,false,3,,0,2,26,3,23,0,0
,State University of New York College:,Brockport,8161,2,false,1,,1,0,51,7,44,0,0
,,Buffalo,10330,18,false,15,,2,1,155,12,143,0,4
,,Cortland,6926,1,false,1,,0,0,64,7,57,0,0
,,Environmental Science and Forestry,2222,0,false,0,,0,0,20,1,19,0,0
,,Fredonia,4842,0,false,0,,0,0,34,4,30,0,0
,,Geneseo,5699,1,false,1,,0,0,80,9,71,0,0
,,New Paltz,7751,2,false,2,,0,0,26,3,23,0,0
,,Oneonta,6119,6,false,6,,0,0,38,1,37,0,0
,,Optometry,381,0,false,0,,0,0,5,0,5,0,0
,,Oswego,7937,6,false,5,,0,1,89,15,72,2,0
,,Potsdam,3904,6,false,3,,0,3,66,7,59,0,0
,,Purchase,4169,1,false,1,,0,0,43,7,36,0,1
,,Technology,3457,1,false,,0,1,0,59,9,50,0,0
,,Utica-Rome,2779,2,false,1,,0,1,7,0,7,0,0
NORTH CAROLINA,Appalachian State University,,17932,4,false,,4,0,0,70,17,52,1,1
,Duke University,,15984,10,false,,3,5,2,466,26,430,10,0
,East Carolina University,,28289,13,false,,6,4,3,144,12,132,0,1
,Elizabeth City State University,,1585,4,false,,3,0,1,44,15,27,2,1
,Elon University,,6631,2,false,,2,0,0,12,0,11,1,0
,Fayetteville State University,,6104,9,false,,3,3,3,53,13,39,1,0
,Methodist University,,2474,1,false,,0,0,1,57,6,51,0,0
,North Carolina Agricultural and Technical State University,,10852,8,false,,4,2,2,189,51,136,2,1
,North Carolina Central University,,8011,17,false,,7,2,8,133,31,100,2,0
,North Carolina State University,Raleigh,34015,17,false,,7,5,5,264,32,226,6,0
,University of North Carolina:,Asheville,3891,1,false,,1,0,0,19,0,19,0,0
,,Chapel Hill,29084,12,false,,4,7,1,204,14,187,3,0
,,Charlotte,27983,2,false,,1,0,1,128,14,110,4,1
,,Greensboro,19393,12,false,,6,2,4,159,23,135,1,1
,,Wilmington,14918,4,false,,4,0,0,208,2,203,3,1
,Wake Forest University,,7837,1,false,,0,0,1,170,38,132,0,0
,Western Carolina University,,10340,5,false,,2,0,3,79,14,65,0,1
,Winston-Salem State University,,5107,6,false,,4,1,1,53,17,34,2,0
NORTH DAKOTA,Bismarck State College,,4078,0,false,0,,0,0,1,0,1,0,0
,North Dakota State College of Science,,3123,1,false,0,,1,0,8,0,8,0,0
,North Dakota State University,,14516,1,false,0,,1,0,109,4,103,2,0
,University of North Dakota,,14951,4,false,1,,0,3,159,7,148,4,0
OHIO,Bowling Green State University,,16908,0,false,0,,0,0,135,4,130,1,2
,Capital University,,3465,0,false,0,,0,0,51,20,30,1,1
,Central State University,,1804,2,false,1,,0,1,77,13,60,4,0
,Cleveland State University,,16915,8,false,4,,3,1,187,3,178,6,0
,Columbus State Community College,,25983,0,false,0,,0,0,52,1,51,0,0
,Cuyahoga Community College,,25449,3,false,1,,1,1,66,4,58,4,0
,Kent State University,,30067,7,false,,2,2,3,159,4,155,0,1
,Lakeland Community College,,7941,0,false,0,,0,0,11,0,11,0,0
,Miami University,,19076,26,false,15,,0,11,232,57,170,5,2
,Notre Dame College,,2094,1,false,1,,0,0,39,6,32,1,0
,Ohio State University,Columbus,58663,33,false,14,,8,11,820,23,783,14,2
,Ohio University,,29157,15,false,13,,0,2,172,10,157,5,1
,Otterbein University,,2808,0,false,0,,0,0,34,2,32,0,0
,Shawnee State University,,3881,1,false,,1,0,0,28,2,26,0,1
,Sinclair Community College,,18136,0,false,,0,0,0,40,11,29,0,0
,University of Akron,,23101,10,false,3,,5,2,191,10,172,9,0
,University of Cincinnati,,36042,45,false,,40,2,3,254,18,233,3,0
,University of Toledo,,20377,10,false,6,,3,1,207,14,192,1,2
,Wright State University,,17070,5,false,2,,2,1,88,13,72,3,0
OKLAHOMA,Cameron University,,5177,0,false,0,,0,0,21,3,18,0,0
,East Central University,,4444,0,false,0,,0,0,21,2,19,0,0
,Langston University,,2543,9,false,2,,3,4,50,30,19,1,0
,Northeastern Oklahoma A&M College,,2107,4,false,2,,0,2,41,19,18,4,0
,Northeastern State University,Tahlequah,8251,1,false,1,,0,0,12,1,11,0,0
,Oklahoma City University,,2991,1,false,0,,1,0,39,6,30,3,0
,Oklahoma State University:,Main Campus,25930,6,false,3,,2,1,178,44,131,3,0
,,Okmulgee,2617,2,false,1,,1,0,14,0,14,0,0
,,Tulsa,787,0,false,0,,0,0,16,1,15,0,0
,Rogers State University,,4081,0,false,0,,0,0,7,1,6,0,0
,Seminole State College,,1839,0,false,0,,0,0,4,0,4,0,0
,Southeastern Oklahoma State University,,3754,0,false,0,,0,0,14,1,11,2,0
,Southwestern Oklahoma State University,,5113,0,false,0,,0,0,4,1,3,0,0
,Tulsa Community College,,17160,0,false,0,,0,0,6,0,5,1,0
,University of Central Oklahoma,,16910,3,false,0,,1,2,61,9,51,1,0
,University of Oklahoma: ,Health Sciences Center,3389,4,false,0,,3,1,172,11,155,6,0
,,Norman,27428,5,false,2,,0,3,334,7,318,9,0
OREGON,Portland State University,,27488,6,false,1,,4,1,244,20,224,0,0
,University of Oregon,,24032,20,false,10,,1,9,359,27,325,7,5
PENNSYLVANIA,Bloomsburg University,,9737,1,false,0,,0,1,34,1,33,0,0
,California University,,7854,7,false,4,,0,3,28,0,28,0,0
,Cheyney University,,711,5,false,2,,0,3,37,7,30,0,0
,Clarion University,,5368,1,false,0,,1,0,30,0,30,0,0
,Dickinson College,,2420,1,false,1,,0,0,98,11,87,0,0
,East Stroudsburg University,,6828,3,false,2,,0,1,37,0,37,0,0
,Edinboro University,,6548,5,false,2,,0,3,36,3,33,0,0
,Elizabethtown College,,1820,3,false,3,,0,0,16,0,16,0,0
,Indiana University,,13835,2,false,1,,1,0,52,0,52,0,0
,Kutztown University,,8995,8,false,7,,0,1,72,6,66,0,0
,Lehigh University,,7054,0,false,0,,0,0,28,0,28,0,0
,Lock Haven University,,4607,5,false,2,,0,3,21,2,19,0,0
,Mansfield University,,2352,0,false,0,,0,0,10,0,10,0,0
,Millersville University,,7959,0,false,0,,0,0,29,3,26,0,0
,Moravian College,,2261,6,false,2,,1,3,37,15,22,0,0
,Pennsylvania State University:,Altoona,3839,5,false,4,,0,1,29,0,28,1,0
,,Beaver,705,1,false,1,,0,0,12,0,12,0,3
,,Behrend,4327,0,false,0,,0,0,12,2,10,0,0
,,Berks,2906,1,false,0,,1,0,17,0,17,0,0
,,Brandywine,1457,0,false,0,,0,0,5,1,4,0,0
,,Greater Allegheny,577,0,false,0,,0,0,10,1,9,0,0
,,Harrisburg,4678,0,false,0,,0,0,21,0,21,0,0
,,Hazleton,831,0,false,0,,0,0,7,1,6,0,0
,,Mont Alto,893,0,false,0,,0,0,2,0,2,0,0
,,Schuylkill,783,1,false,1,,0,0,3,2,1,0,0
,,University Park,47307,50,false,33,,6,11,502,79,423,0,7
,,Wilkes-Barre,501,2,false,0,,0,2,2,0,2,0,0
,,Worthington Scranton,1034,0,false,0,,0,0,0,0,0,0,0
,Shippensburg University,,7048,2,false,2,,0,0,24,4,20,0,0
,Slippery Rock University,,8611,1,false,0,,0,1,16,2,14,0,0
,University of Pittsburgh: ,Bradford,1453,2,false,0,,0,2,18,5,13,0,0
,,Greensburg,1562,1,false,1,,0,0,7,0,7,0,0
,,Johnstown,2816,7,false,2,,1,4,31,2,29,0,0
,,Pittsburgh,28649,15,false,5,,3,7,242,9,233,0,0
,,Titusville,346,2,false,1,,0,1,10,0,10,0,0
,West Chester University,,16597,5,false,3,,0,2,68,5,61,2,0
RHODE ISLAND,Brown University,,9458,1,false,1,,0,0,110,7,102,1,0
,University of Rhode Island,,16613,2,false,0,,0,2,70,7,62,1,2
SOUTH CAROLINA,Benedict College,,2465,44,true,1,,32,10,105,23,78,4,3
,Bob Jones University,,3005,0,false,0,,0,0,18,6,12,0,0
,Clemson University,,22698,4,false,2,,1,1,209,21,147,41,2
,Coastal Carolina University,,10263,13,false,6,,1,6,236,12,222,2,0
,College of Charleston,,11531,0,false,0,,0,0,56,0,54,2,0
,Columbia College,,1484,0,false,0,,0,0,9,0,9,0,0
,Denmark Technical College,,1043,0,false,0,,0,0,0,0,0,0,0
,Erskine College,,761,0,false,0,,0,0,19,0,19,0,0
,Francis Marion University,,3947,0,false,0,,0,0,38,1,37,0,0
,Greenville Technical College,,12280,0,false,0,,0,0,29,4,25,0,0
,Lander University,,2701,3,false,3,,0,0,16,3,13,0,0
,Medical University of South Carolina,,2992,2,false,1,,0,1,102,1,96,5,0
,Midlands Technical College,,10946,0,false,0,,0,0,17,0,15,2,0
,Orangeburg-Calhoun Technical College,,2774,0,false,0,,0,0,3,1,2,0,0
,Presbyterian College,,1379,1,false,1,,0,0,22,7,15,0,0
,South Carolina State University,,3054,9,false,3,,2,4,96,15,72,9,0
,Spartanburg Methodist College,,771,3,false,2,,1,0,6,0,6,0,0
,The Citadel,,3506,1,false,0,,1,0,19,7,11,1,0
,Tri-County Technical College,,6128,0,false,0,,0,0,11,0,11,0,0
,Trident Technical College,,15043,0,false,0,,0,0,21,0,21,0,0
,University of South Carolina:,Aiken,3448,1,false,0,,1,0,21,0,21,0,0
,,Beaufort,1980,1,false,0,,0,1,8,0,7,1,0
,,Columbia,33724,3,false,0,,1,2,314,9,240,65,0
,,Upstate,5996,2,false,1,,0,1,18,4,14,0,0
,Winthrop University,,6031,1,false,0,,1,0,29,7,21,1,0
SOUTH DAKOTA,South Dakota State University,,12576,3,false,1,,0,2,59,2,56,1,0
TENNESSEE,Austin Peay State University,,10099,5,false,1,,3,1,62,4,58,0,0
,Chattanooga State Community College,,9374,1,false,0,,0,1,13,1,12,0,0
,Christian Brothers University,,1842,1,false,0,,0,1,27,1,26,0,0
,Cleveland State Community College,,3509,0,false,0,,0,0,0,0,0,0,0
,East Tennessee State University,,14334,9,false,2,,4,3,76,5,70,1,0
,Jackson State Community College,,4746,0,false,0,,0,0,0,0,0,0,0
,Lincoln Memorial University,,3983,0,false,0,,0,0,0,0,0,0,0
,Middle Tennessee State University,,22511,10,false,2,,2,6,134,10,121,3,0
,Northeast State Community College,,6084,0,false,0,,0,0,11,1,10,0,0
,Pellissippi State Community College,,10325,0,false,0,,0,0,23,3,19,1,0
,Roane State Community College,,5861,0,false,0,,0,0,2,0,2,0,0
,Southwest Tennessee Community College,,9135,2,false,0,,0,2,18,0,18,0,0
,Tennessee State University,,9167,6,false,0,,2,4,56,15,39,2,0
,Tennessee Technological University,,10900,4,false,2,,0,2,80,10,70,0,0
,University of Memphis,,20585,15,false,6,,1,8,155,25,121,9,0
,University of Tennessee: ,Chattanooga,11387,4,false,2,,1,1,74,5,64,5,0
,,Health Science Center,3075,2,false,0,,2,0,34,4,30,0,0
,,Knoxville,27845,5,false,3,,1,1,270,14,246,10,0
,,Martin,6827,3,false,1,,0,2,39,5,33,1,0
,University of the South,,1797,13,false,12,,0,1,72,29,43,0,1
,Volunteer State Community College,,8098,0,false,0,,0,0,9,0,9,0,0
,Walters State Community College,,5947,0,false,0,,0,0,7,2,4,1,0
TEXAS,Abilene Christian University,,4544,4,false,2,,0,2,73,12,61,0,0
,Alamo Community College District,,57165,2,false,0,,2,0,159,10,143,6,0
,Alvin Community College,,5114,0,false,0,,0,0,23,1,22,0,0
,Amarillo College,,9936,0,false,0,,0,0,28,0,27,1,0
,Angelo State University,,8483,2,false,2,,0,0,61,7,53,1,0
,Austin College,,1255,0,false,0,,0,0,29,2,26,1,0
,Baylor Health Care System5,,,4,false,2,,0,2,449,1,430,18,0
,Baylor University,Waco,16787,11,false,5,,0,6,143,13,127,3,0
,Brookhaven College,,10553,0,false,0,,0,0,16,0,16,0,0
,Central Texas College,,19562,1,false,0,,0,1,10,0,10,0,0
,College of the Mainland,,4013,0,false,0,,0,0,19,2,16,1,0
,El Paso Community College,,28764,1,false,0,,0,1,38,3,35,0,0
,Grayson College,,4591,1,false,0,,0,1,13,9,4,0,0
,Hardin-Simmons University,,2112,0,false,0,,0,0,20,0,20,0,0
,Houston Baptist University,,3160,5,false,2,,2,1,76,16,58,2,3
,Houston Community College,,56522,1,false,0,,0,1,138,2,132,4,0
,Lamar University,Beaumont,14965,10,false,6,,4,0,76,5,70,1,0
,Laredo Community College,,8749,0,false,0,,0,0,10,0,10,0,0
,McLennan Community College,,8305,0,false,0,,0,0,8,0,8,0,0
,Midwestern State University,,6043,2,false,1,,0,1,58,21,37,0,0
,Mountain View College,,8539,2,false,0,,0,2,12,0,12,0,0
,Paris Junior College,,4999,0,false,0,,0,0,15,1,13,1,0
,Rice University,,6719,9,false,3,,5,1,147,5,140,2,0
,Richland College,,16687,0,false,0,,0,0,20,0,20,0,0
,Southern Methodist University,,11643,13,false,5,,3,5,160,5,149,6,1
,South Plains College,,9126,2,false,1,,0,1,7,1,6,0,0
,Southwestern University,,1515,0,false,0,,0,0,24,1,23,0,0
,Stephen F. Austin State University,,12606,4,false,4,,0,0,50,4,46,0,0
,St. Thomas University,,3359,2,false,0,,1,1,18,5,13,0,0
,Sul Ross State University,,2967,4,false,3,,0,1,36,6,30,0,0
,Tarleton State University,,12330,6,false,2,,0,4,107,8,98,1,0
,Texas A&M International University,,7192,6,false,5,,0,1,33,12,21,0,0
,Texas A&M University: ,Central Texas,2466,0,false,0,,0,0,0,0,0,0,0
,,College Station,63813,14,false,8,,3,3,452,29,409,14,0
,,Commerce,12928,3,false,3,,0,0,81,15,65,1,0
,,Corpus Christi,11661,5,false,4,,1,0,80,8,65,7,0
,,Galveston5,,3,false,3,,0,0,14,1,11,2,0
,,Kingsville,9207,4,false,2,,1,1,107,35,70,2,0
,,San Antonio,4564,0,false,0,,0,0,4,0,4,0,0
,Texas Christian University,,10323,4,false,3,,0,1,129,16,111,2,0
,Texas Southern University,,8965,8,false,1,,4,3,150,22,127,1,0
,Texas State Technical College: ,Harlingen5,,0,false,0,,0,0,14,0,13,1,0
,,Waco5,,5,false,4,,0,1,71,19,51,1,0
,,West Texas5,,0,false,0,,0,0,2,0,2,0,0
,Texas State University,San Marcos,37979,3,false,0,,1,2,169,23,137,9,1
,Texas Tech University,Lubbock,35859,6,false,4,,1,1,458,13,438,7,4
,Texas Woman's University,,15286,4,false,3,,0,1,55,5,48,2,0
,Tyler Junior College,,10934,2,false,0,,1,1,61,5,54,2,0
,University of Houston: ,Central Campus,42704,18,false,0,,12,6,517,31,469,17,0
,,Clearlake,8906,1,false,1,,0,0,31,4,26,1,0
,,Downtown Campus,14262,1,false,0,,0,1,37,0,36,1,0
,University of Mary Hardin-Baylor,,3898,0,false,0,,0,0,44,2,42,0,0
,University of North Texas,Denton,37299,9,false,5,,2,2,154,9,143,2,0
,University of Texas:,Arlington,41988,11,false,4,,3,4,115,12,100,3,0
,,Austin,50950,13,true,5,,3,4,337,10,325,2,1
,,Dallas,24554,5,false,1,,1,3,113,7,105,1,0
,,El Paso,23397,10,false,5,,0,5,138,25,110,3,1
,,"Health Science Center, San Antonio",3130,2,false,1,,1,0,40,4,33,3,0
,,"Health Science Center, Tyler5",,3,false,0,,0,3,9,0,9,0,0
,,Houston,5115,1,false,1,,0,0,295,23,267,5,0
,,Medical Branch,3169,4,false,0,,1,3,111,4,106,1,0
,,Permian Basin,6077,0,false,0,,0,0,9,2,7,0,0
,,Rio Grande Valley,28584,0,false,0,,0,0,100,1,99,0,2
,,San Antonio,28787,10,false,5,,3,2,112,8,87,17,0
,,Southwestern Medical School,2295,7,false,0,,4,3,177,0,169,8,0
,,Tyler,8785,0,false,0,,0,0,26,4,21,1,0
,West Texas A&M University,,9489,2,false,2,,0,0,54,6,46,2,0
UTAH,Brigham Young University,,33469,1,false,1,,0,0,185,0,183,2,0
,Southern Utah University,,8881,0,false,0,,0,0,24,2,22,0,0
,University of Utah,,31592,12,true,2,,0,9,437,59,357,21,1
,Utah State University:,Eastern5,,1,false,1,,0,0,12,1,11,0,0
,,Logan,28622,4,false,4,,0,0,28,3,25,0,3
,Utah Valley University,,33211,4,false,1,,2,1,80,4,76,0,0
VERMONT,University of Vermont,,12815,6,false,5,,0,1,94,7,87,0,0
VIRGINIA,Bridgewater College,,1834,0,false,0,,0,0,9,0,9,0,0
,Christopher Newport University,,5172,3,false,2,,0,1,72,2,70,0,0
,College of William and Mary,,8484,4,false,1,,2,1,136,9,127,0,0
,Eastern Virginia Medical School,,1096,0,false,0,,0,0,21,0,20,1,0
,Emory and Henry College,,1117,0,false,0,,0,0,3,2,1,0,0
,Ferrum College,,1334,1,false,1,,0,0,24,3,21,0,0
,George Mason University,,33929,12,false,9,,2,1,115,6,109,0,0
,James Madison University,,21227,6,false,4,,1,1,124,12,112,0,3
,J. Sargeant Reynolds Community College,,10889,0,false,0,,0,0,17,0,17,0,0
,Longwood University,,5087,5,false,5,,0,0,34,2,31,1,0
,Lord Fairfax Community College,,7002,0,false,0,,0,0,3,0,3,0,0
,Norfolk State University,,5107,6,false,3,,1,2,87,3,81,3,0
,Northern Virginia Community College,,52078,4,false,3,,1,0,65,0,65,0,0
,Old Dominion University,,24672,31,false,2,,11,18,368,24,340,4,1
,Radford University,,9743,7,false,6,,1,0,64,6,52,6,3
,Richard Bland College,,2255,0,false,0,,0,0,40,6,33,1,0
,Thomas Nelson Community College,,9316,2,false,1,,1,0,12,0,12,0,0
,University of Richmond,,4181,5,false,4,,0,1,129,9,117,3,0
,University of Virginia,,23883,16,false,8,,1,7,189,25,161,3,0
,University of Virginia's College at Wise,,2027,1,false,1,,0,0,23,11,12,0,0
,Virginia Commonwealth University,,30918,33,false,9,,8,16,512,19,489,4,1
,Virginia Military Institute,,1717,0,false,0,,0,0,20,8,12,0,0
,Virginia Polytechnic Institute and State University,,32663,10,false,5,,1,4,175,26,147,2,0
,Virginia State University,,4696,4,false,0,,3,1,73,7,66,0,0
,Virginia Western Community College,,7932,0,false,0,,0,0,9,0,9,0,0
WASHINGTON,Central Washington University,,11993,4,false,4,,0,0,108,5,103,0,0
,Eastern Washington University,,12361,11,false,7,,1,3,52,11,36,5,0
,Evergreen State College,,4190,2,false,1,,1,0,82,6,74,2,0
,University of Washington,,45408,13,false,4,,5,4,712,50,656,6,1
,Washington State University: ,Pullman,29686,15,false,4,,2,9,142,31,109,2,1
,,Vancouver5,,0,false,0,,0,0,4,1,3,0,0
,Western Washington University,,15332,3,false,1,,2,0,120,13,105,2,0
WEST VIRGINIA,Concord University,,2507,0,false,0,,0,0,1,0,1,0,0
,Fairmont State University,,4041,1,false,1,,0,0,20,1,18,1,0
,Glenville State College,,1732,0,false,0,,0,0,10,5,5,0,0
,Marshall University,,13621,25,false,2,,2,21,22,4,18,0,0
,Potomac State College,,1475,9,false,0,,1,8,6,2,4,0,0
,Shepherd University,,3861,0,false,0,,0,0,5,1,4,0,0
,West Virginia State University,,3166,2,false,0,,0,2,29,5,24,0,0
,West Virginia Tech,,1263,0,false,0,,0,0,3,0,3,0,0
,West Virginia University,,28776,5,false,2,,0,3,81,13,67,1,1
WISCONSIN,Marquette University ,,11491,19,false,,5,4,10,267,22,225,20,0
,University of Wisconsin:,Eau Claire,10592,1,false,,1,0,0,58,2,56,0,0
,,Green Bay,6784,0,false,,0,0,0,16,0,15,1,0
,,La Crosse,10490,0,false,,0,0,0,119,1,118,0,0
,,Madison,42716,13,false,,6,2,5,287,33,249,5,1
,,Milwaukee,26726,7,false,,5,0,2,153,13,137,3,1
,,Oshkosh,14051,3,false,,0,0,3,42,7,35,0,0
,,Parkside,4412,2,false,,2,0,0,32,2,30,0,0
,,Platteville,8945,0,false,0,,0,0,58,2,55,1,2
,,River Falls,5949,4,false,,2,0,2,35,0,35,0,0
,,Stevens Point,9265,4,false,,4,0,0,58,0,58,0,0
,,Stout,9554,3,false,,3,0,0,83,3,80,0,0
,,Superior,2497,0,false,,0,0,0,19,0,19,0,0
WYOMING,University of Wyoming,,12648,0,false,0,,0,0,102,3,98,1,0
"1 The student enrollment figures provided by the United States Department of Education are for the 2015 school year, the most recent available. The enrollment figures include full-time and part-time students.  ",,,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape. See the data declaration for further explanation.  ,,,,,,,,,,,,,,
3 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape. See the data declaration for further explanation. ,,,,,,,,,,,,,,
4 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,,,,
5 Student enrollment figures were not available.,,,,,,,,,,,,,,
"6 This agency began the year submitting rape data classified according to the legacy UCR definition. However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape. See the data declaration for further explanation. ",,,,,,,,,,,,,,
"NOTE:  Caution should be exercised in making any intercampus comparisons or ranking schools because university/college crime statistics are affected by a variety of factors. These include demographic characteristics of the surrounding community, ratio of male to female students, number of on-campus residents, accessibility of the campus to outside visitors, size of enrollment, etc. ",,,,,,,,,,,,,,
