state,university_college,campus,student_enrollment1,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition_2,rape_legacy_definition_3,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson4
,,Colorado Springs,11988,11,false,6,,1,4,46,3,42,1,0
,,Denver,23671,1,false,0,,1,0,56,0,51,5,0
,University of Northern Colorado,,12216,7,false,6,,1,0,152,2,147,3,0
CONNECTICUT,Central Connecticut State University,,12086,2,false,1,,1,0,25,3,22,0,0
,Eastern Connecticut State University,,5261,0,false,0,,0,0,18,1,16,1,0
,Southern Connecticut State University,,10473,4,false,3,,0,1,24,2,22,0,0
,University of Connecticut: ,Health Center5,,0,false,0,,0,0,17,2,15,0,0
,,"Storrs, Avery Point and Hartford5",,5,false,3,,1,1,189,22,156,11,3
,Western Connecticut State University,,5826,1,false,1,,0,0,34,9,25,0,0
,Yale University,,12385,1,false,0,,1,0,274,33,238,3,1
DELAWARE,Delaware State University,,4288,4,false,1,,0,3,119,7,111,1,0
,University of Delaware,,22852,3,false,0,,0,3,143,6,137,0,1
FLORIDA,Florida A&M University,,9928,6,false,1,,3,2,97,4,85,8,0
,Florida Atlantic University,,30380,6,false,1,,3,2,160,20,127,13,0
,Florida Gulf Coast University,,14833,3,false,2,,1,0,53,1,52,0,0
,Florida International University,,49782,15,false,5,,7,3,355,28,309,18,0
,Florida Polytechnic University5,,,1,false,0,,1,0,6,0,6,0,0
,Florida SouthWestern State College,,15709,0,false,0,,0,0,14,2,12,0,0
,Florida State University:,Panama City5,,0,false,0,,0,0,4,0,4,0,0
,,Tallahassee,40830,20,false,10,,6,4,523,38,452,33,1
,New College of Florida,,861,1,false,0,,0,1,28,0,27,1,1
,Pensacola State College,,9840,0,false,0,,0,0,31,8,23,0,0
,Santa Fe College,,14767,0,false,0,,0,0,24,0,22,2,0
,Tallahassee Community College,,12445,2,false,1,,0,1,52,0,50,2,0
,University of Central Florida,,62953,14,false,5,,4,5,297,27,260,10,0
,University of Florida,,50645,10,false,5,,2,3,367,32,315,20,0
,University of North Florida,,15675,3,false,0,,1,2,89,21,63,5,0
,University of South Florida: ,St. Petersburg,4739,0,false,0,,0,0,40,3,37,0,0
,,Tampa,42067,8,false,3,,3,2,323,54,262,7,0
,University of West Florida,,12763,10,false,6,,1,3,55,11,44,0,0
GEORGIA,Abraham Baldwin Agricultural College,,3393,0,false,,0,0,0,26,2,23,1,0
,Agnes Scott College,,902,0,false,,0,0,0,13,3,10,0,0
,Albany State University,,3492,1,false,,1,0,0,39,0,39,0,0
,Andrew College,,311,0,false,,0,0,0,16,5,11,0,0
,Armstrong State University,,7103,1,false,,1,0,0,46,8,38,0,0
,Atlanta Metropolitan State College,,3129,0,false,,0,0,0,24,0,24,0,0
,Augusta Technical College,,4490,0,false,,0,0,0,16,0,16,0,0
,Augusta University,,8333,2,false,,1,1,0,136,1,130,5,0
,Bainbridge State College,,2401,0,false,,0,0,0,0,0,0,0,0
,Berry College,,2245,1,false,,1,0,0,48,5,42,1,0
,Chattahoochee Technical College,,9817,1,false,,0,0,1,3,0,3,0,0
,Clark Atlanta University,,3661,12,false,,0,11,1,75,12,59,4,0
,Clayton State University,,7012,2,false,,1,0,1,19,2,17,0,0
,College of Coastal Georgia,,3131,0,false,,0,0,0,25,3,22,0,1
,Columbus State University,,8440,7,false,,3,1,3,74,5,67,2,0
,Dalton State College,,5044,2,false,,1,0,1,12,1,11,0,0
,Emory University,,13788,10,false,,1,3,6,419,29,388,2,0
,Fort Valley State University,,2696,3,true,,0,1,1,25,8,17,0,0
,Georgia College and State University,,6889,1,false,,1,0,0,43,6,29,8,1
,Georgia Gwinnett College,,11468,0,false,,0,0,0,20,1,19,0,0
,Georgia Institute of Technology,,25034,17,false,,3,9,5,243,21,217,5,0
,Georgia Military College,,7876,0,false,,0,0,0,1,0,0,1,0
,Georgia Southern University,,20459,3,false,,2,0,1,121,1,118,2,0
,Georgia Southwestern State University,,2755,0,false,,0,0,0,56,2,54,0,0
,Georgia State University,,32058,25,false,,3,20,2,242,5,234,3,0
,Gordon State College,,4084,1,false,,0,1,0,25,13,12,0,0
,Gwinnett Technical College,,6959,0,false,,0,0,0,0,0,0,0,0
,Kennesaw State University,,33252,11,false,,10,1,0,209,14,184,11,0
,Mercer University,,8600,4,false,,0,3,1,88,7,71,10,1
,Middle Georgia State University,,7676,3,false,,1,1,1,22,3,18,1,0
,Morehouse College,,2167,3,false,,0,2,1,127,19,105,3,
,Piedmont College,,2264,0,false,,0,0,0,0,0,0,0,0
,Savannah State University,,4800,12,false,,0,4,8,114,20,92,2,
,Savannah Technical College,,4196,0,false,,0,0,0,22,0,20,2,0
,Southern Crescent Technical College,,4867,0,false,,0,0,0,12,0,11,1,0
,South Georgia State College,,2648,1,false,,0,0,1,7,0,7,0,0
,Spelman College,,2144,0,false,,0,0,0,23,9,14,0,0
,University of Georgia,,36130,18,false,,14,2,2,342,38,295,9,0
,University of North Georgia,,17289,0,false,,0,0,0,18,1,17,0,0
,University of West Georgia,,12834,7,false,,7,0,0,49,7,40,2,0
,Valdosta State University,,11302,3,false,,0,2,1,122,11,109,2,0
,Wesleyan College,,708,0,false,,0,0,0,5,0,5,0,0
,West Georgia Technical College,,6431,0,false,,0,0,0,22,1,21,0,0
,Young Harris College,,1204,0,false,,0,0,0,13,0,13,0,0
ILLINOIS,Black Hawk College: ,Kewanee5,,0,false,0,,0,0,3,1,2,0,0
,,Moline,5271,0,false,0,,0,0,6,0,6,0,0
,Chicago State University,,4767,3,false,0,,2,1,22,0,22,0,0
,College of Lake County,,14964,0,false,0,,0,0,26,3,23,0,0
,Eastern Illinois University,,8520,0,false,0,,0,0,59,2,56,1,0
,Elgin Community College,,10336,0,false,0,,0,0,10,0,10,0,0
,Illinois Central College,,9704,0,false,0,,0,0,35,7,28,0,0
,John Wood Community College,,2016,0,false,0,,0,0,2,0,2,0,0
,Joliet Junior College,,14944,0,false,0,,0,0,13,0,13,0,0
,Kankakee Community College,,3306,0,false,0,,0,0,1,0,1,0,0
,Lake Land College,,5241,0,false,0,,0,0,4,0,4,0,0
,Lewis University,,6679,2,false,1,,0,1,20,2,18,0,0
,Lincoln Land Community College,,6447,1,false,0,,0,1,7,0,7,0,0
,Loyola University of Chicago,,16437,26,false,15,,10,1,112,10,101,1,0
,McHenry County College,,6561,0,false,0,,0,0,15,0,15,0,0
,Millikin University,,2152,0,false,0,,0,0,17,0,17,0,0
,Moraine Valley Community College,,15016,0,false,0,,0,0,43,0,43,0,0
,Morton College,,4592,0,false,0,,0,0,5,1,3,1,0
,Northeastern Illinois University,,9891,0,false,0,,0,0,21,0,20,1,0
,Northern Illinois University,,20130,13,false,6,,2,5,141,8,131,2,1
,Oakton Community College,,9864,0,false,0,,0,0,12,1,11,0,0
,Parkland College,,8147,0,false,0,,0,0,15,1,14,0,0
,Prairie State College,,4699,1,false,0,,0,1,10,0,10,0,0
,Rend Lake College,,2303,0,false,0,,0,0,1,0,1,0,0
,Southern Illinois University:,Carbondale,17292,11,false,2,,0,9,149,16,131,2,1
,,Edwardsville,14265,5,false,2,,0,3,81,8,73,0,1
,,School of Medicine5,,0,false,0,,0,0,0,0,0,0,0
,South Suburban College,,4205,0,false,0,,0,0,17,6,11,0,0
,Southwestern Illinois College,,9943,4,false,0,,2,2,32,2,28,2,0
,Triton College,,11684,1,false,0,,0,1,32,2,28,2,0
,University of Chicago,Cook County,15391,14,false,0,,7,7,215,3,211,1,0
,University of Illinois: ,Springfield,5402,2,false,1,,0,1,34,4,30,0,0
,,Urbana,45842,20,true,11,,8,0,269,26,234,9,1
,Western Illinois University,,11094,9,false,8,,0,1,68,3,64,1,1
INDIANA,Ball State University,,21196,7,false,5,,2,0,237,26,205,6,2
,Indiana State University,,13584,19,false,,0,1,18,162,2,160,0,
