metropolitan_statistical_area,counties_principal_cities,population,violent_crime,murder_and_nonnegligent_manslaughter,rape1,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft
,"City of Chattanooga, TN",177801,1819,26,111,375,1307,9752,1570,7122,1060
,Total area actually reporting,0.975,2938,32,208,493,2205,17576,3081,12685,1810
,Estimated total,1,2982,33,211,506,2232,17926,3160,12921,1845
,"Rate per 100,000 inhabitants",,540.8,6,38.3,91.8,404.8,3251,573.1,2343.3,334.6
"Cheyenne, WY M.S.A.",,97275, ,,,,, ,,,
,Includes Laramie County,,,,,,,,,,
,City of Cheyenne,64046,172,5,26,15,126,2427,356,1873,198
,Total area actually reporting,1,245,8,36,18,183,2939,477,2204,258
,"Rate per 100,000 inhabitants",,251.9,8.2,37,18.5,188.1,3021.3,490.4,2265.7,265.2
"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.2",,9523022,,,,,,,,,
,"Includes the Metropolitan Divisions of Chicago-Naperville-Arlington Heights, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI",,,,,,,,,,
,"City of Chicago, IL",2725153,30126,765,1589,11957,15815,86960,14258,61229,11473
,"City of Naperville, IL",148070,92,0,15,34,43,1587,141,1401,45
,"City of Elgin, IL",112886,236,2,34,63,137,1565,218,1279,68
,"City of Gary, IN",76556,460,46,32,212,170,3617,990,2229,398
,"City of Arlington Heights, IL",76077,58,0,8,14,36,722,79,624,19
,"City of Evanston, IL",75716,130,2,6,38,84,1671,329,1269,73
,"City of Schaumburg, IL",74774,74,0,23,21,30,1685,108,1526,51
,"City of Skokie, IL",64819,158,1,15,45,97,1557,228,1283,46
,"City of Des Plaines, IL",58726,45,0,6,11,28,537,91,423,23
,"City of Hoffman Estates, IL",52177,55,0,11,15,29,429,52,353,24
,Total area actually reporting,0.969,41539,958,3088,15723,21770,192468,30652,144323,17493
,Estimated total,1,42187,967,3162,15887,22171,198228,31492,148887,17849
,"Rate per 100,000 inhabitants",,443,10.2,33.2,166.8,232.8,2081.6,330.7,1563.4,187.4
"Chicago-Naperville-Arlington Heights, IL M.D.2",,7318619,,,,,,,,,
,"Includes Cook, DuPage, Grundy, Kendall, McHenry, and Will Counties",,,,,,,,,,
,Total area actually reporting,0.98,37221,867,2546,14474,19334,156027,24872,115796,15359
,Estimated total,1,37530,871,2588,14561,19510,158528,25263,117778,15487
,"Rate per 100,000 inhabitants",,512.8,11.9,35.4,199,266.6,2166.1,345.2,1609.3,211.6
"Elgin, IL M.D.",,634927,,,,,,,,,
,Includes DeKalb and Kane Counties,,,,,,,,,,
,Total area actually reporting,0.983,1202,14,215,218,755,8755,1214,7232,309
,Estimated total,1,1225,14,218,225,768,8943,1243,7381,319
,"Rate per 100,000 inhabitants",,192.9,2.2,34.3,35.4,121,1408.5,195.8,1162.5,50.2
"Gary, IN M.D.",,700547,,,,,,,,,
,"Includes Jasper, Lake, Newton, and Porter Counties",,,,,,,,,,
,Total area actually reporting,0.846,1652,70,135,605,842,15338,2597,11388,1353
,Estimated total,1,1908,74,156,658,1020,17918,2940,13432,1546
,"Rate per 100,000 inhabitants",,272.4,10.6,22.3,93.9,145.6,2557.7,419.7,1917.4,220.7
"Lake County-Kenosha County, IL-WI M.D.",,868929,,,,,,,,,
,"Includes Lake County, IL and Kenosha County, WI",,,,,,,,,,
,Total area actually reporting,0.967,1464,7,192,426,839,12348,1969,9907,472
,Estimated total,1,1524,8,200,443,873,12839,2046,10296,497
,"Rate per 100,000 inhabitants",,175.4,0.9,23,51,100.5,1477.6,235.5,1184.9,57.2
"Chico, CA M.S.A.",,224973, ,,,,, ,,,
,Includes Butte County,,,,,,,,,,
,City of Chico,91122,293,0,66,57,170,3290,499,2336,455
,Total area actually reporting,1,790,4,133,138,515,7307,1755,4531,1021
,"Rate per 100,000 inhabitants",,351.2,1.8,59.1,61.3,228.9,3247.9,780.1,2014,453.8
"Cincinnati, OH-KY-IN M.S.A.",,2163182,,,,,,,,,
,"Includes Dearborn, Ohio, and Union Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH",,,,,,,,,,
,"City of Cincinnati, OH",298880,2720,57,249,1278,1136,15382,3929,10216,1237
,Total area actually reporting,0.942,5377,98,856,2164,2259,54312,10956,40542,2814
,Estimated total,1,5566,101,889,2213,2363,56602,11377,42278,2947
,"Rate per 100,000 inhabitants",,257.3,4.7,41.1,102.3,109.2,2616.6,525.9,1954.4,136.2
"Clarksville, TN-KY M.S.A.",,285097, ,,,,, ,,,
,"Includes Christian and Trigg Counties, KY and Montgomery County, TN",,,,,,,,,,
,"City of Clarksville, TN",152526,935,12,74,131,718,3853,711,2960,182
,Total area actually reporting,1,1219,19,115,202,883,6311,1283,4689,339
,"Rate per 100,000 inhabitants",,427.6,6.7,40.3,70.9,309.7,2213.6,450,1644.7,118.9
"Cleveland, TN M.S.A.",,121862, ,,,,, ,,,
,Includes Bradley and Polk Counties,,,,,,,,,,
,City of Cleveland,44423,384,2,14,50,318,2704,406,2044,254
,Total area actually reporting,1,624,3,24,64,533,4102,811,2867,424
,"Rate per 100,000 inhabitants",,512.1,2.5,19.7,52.5,437.4,3366.1,665.5,2352.7,347.9
"Cleveland-Elyria, OH M.S.A.",,2055254,,,,,,,,,
,"Includes Cuyahoga, Geauga, Lake, Lorain, and Medina Counties",, ,,,,,,,,
,City of Cleveland,386227,6299,135,488,2980,2696,20533,6333,10001,4199
,City of Elyria,53633,161,4,26,71,60,1483,344,1042,97
,Total area actually reporting,0.853,8691,181,803,3852,3855,42264,10504,26216,5544
,Estimated total,1,9156,189,900,4009,4058,48994,11617,31555,5822
,"Rate per 100,000 inhabitants",,445.5,9.2,43.8,195.1,197.4,2383.8,565.2,1535.3,283.3
"Coeur d'Alene, ID M.S.A.",,153701,,,,,,,,,
,Includes Kootenai County,, ,,,,,,,,
,City of Coeur d'Alene,50155,173,1,48,13,111,1418,200,1129,89
,Total area actually reporting,1,356,7,74,27,248,3568,724,2641,203
,"Rate per 100,000 inhabitants",,231.6,4.6,48.1,17.6,161.4,2321.4,471,1718.3,132.1
"College Station-Bryan, TX M.S.A.",,252572,,,,,,,,,
,"Includes Brazos, Burleson, and Robertson Counties",, ,,,,,,,,
,City of College Station,110785,245,3,52,50,140,2290,342,1840,108
,City of Bryan,83286,420,1,59,96,264,2552,511,1899,142
,Total area actually reporting,0.995,833,5,149,162,517,5969,1108,4557,304
,Estimated total,1,837,5,150,163,519,6002,1113,4583,306
,"Rate per 100,000 inhabitants",,331.4,2,59.4,64.5,205.5,2376.4,440.7,1814.5,121.2
"Colorado Springs, CO M.S.A.",,707431, ,,,,, ,,,
,Includes El Paso and Teller Counties,,,,,,,,,,
,City of Colorado Springs,464113,2301,24,446,437,1394,16526,2677,11776,2073
,Total area actually reporting,0.999,2861,32,575,483,1771,20132,3248,14421,2463
,Estimated total,1,2862,32,575,483,1772,20150,3250,14435,2465
,"Rate per 100,000 inhabitants",,404.6,4.5,81.3,68.3,250.5,2848.3,459.4,2040.5,348.4
"Columbia, MO M.S.A.",,177168, ,,,,, ,,,
,Includes Boone County,,,,,,,,,,
,City of Columbia,121143,517,6,111,127,273,3245,530,2469,246
,Total area actually reporting,1,674,6,132,138,398,4230,693,3217,320
,"Rate per 100,000 inhabitants",,380.4,3.4,74.5,77.9,224.6,2387.6,391.2,1815.8,180.6
"Columbia, SC M.S.A.",,820037, ,,,,, ,,,
,"Includes Calhoun, Fairfield, Kershaw, Lexington, Richland, and Saluda Counties",,,,,,,,,,
,City of Columbia,134489,1116,10,99,286,721,7374,1114,5357,903
,Total area actually reporting,1,4834,58,399,849,3528,28907,5013,20633,3261
,"Rate per 100,000 inhabitants",,589.5,7.1,48.7,103.5,430.2,3525.1,611.3,2516.1,397.7
"Columbus, GA-AL M.S.A.",,316990, ,,,,, ,,,
,"Includes Russell County, AL and Chattahoochee, Harris, Marion, and Muscogee Counties, GA",,,,,,,,,,
,"City of Columbus, GA",202338,1218,24,62,523,609,9625,2273,6500,852
,Total area actually reporting,0.998,1639,33,123,601,882,12060,2940,7996,1124
,Estimated total,1,1643,33,123,602,885,12080,2944,8011,1125
,"Rate per 100,000 inhabitants",,518.3,10.4,38.8,189.9,279.2,3810.8,928.7,2527.2,354.9
"Columbus, IN M.S.A.",,81884, ,,,,, ,,,
,Includes Bartholomew County,,,,,,,,,,
,City of Columbus,47222,34,0,15,17,2,1943,180,1657,106
,Total area actually reporting,1,67,0,21,20,26,2511,326,2010,175
,"Rate per 100,000 inhabitants",,81.8,0,25.6,24.4,31.8,3066.5,398.1,2454.7,213.7
"Columbus, OH M.S.A.2",,2043036, ,,,,, ,,,
,"Includes Delaware, Fairfield, Franklin, Hocking, Licking, Madison, Morrow, Perry, Pickaway, and Union Counties",,,,,,,,,,
,City of Columbus,862515,4500,91,867,2144,1398,35106,7756,23800,3550
,Total area actually reporting,0.913,5585,104,1166,2489,1826,56162,11472,40424,4266
,Estimated total,1,5820,107,1219,2555,1939,59476,12144,42917,4415
,"Rate per 100,000 inhabitants",,284.9,5.2,59.7,125.1,94.9,2911.2,594.4,2100.6,216.1
"Corpus Christi, TX M.S.A.",,456121, ,,,,, ,,,
,"Includes Aransas, Nueces, and San Patricio Counties",,,,,,,,,,
,City of Corpus Christi,327948,2328,24,259,424,1621,12198,2296,9246,656
,Total area actually reporting,0.979,2981,35,306,458,2182,16035,3264,11933,838
,Estimated total,1,3007,35,310,464,2198,16273,3302,12116,855
,"Rate per 100,000 inhabitants",,659.3,7.7,68,101.7,481.9,3567.7,723.9,2656.3,187.5
"Corvallis, OR M.S.A.",,88515, ,,,,, ,,,
,Includes Benton County,,, ,,,,,,,
,City of Corvallis,56061,75,1,25,11,38,1557,207,1283,67
,Total area actually reporting,1,113,1,35,14,63,2256,287,1869,100
,"Rate per 100,000 inhabitants",,127.7,1.1,39.5,15.8,71.2,2548.7,324.2,2111.5,113
"Crestview-Fort Walton Beach-Destin, FL M.S.A.",,268298,,,,,,,,,
,Includes Okaloosa and Walton Counties,,,,,,,,,,
,City of Crestview,23749,121,3,20,19,79,897,157,678,62
,City of Fort Walton Beach,22314,67,3,12,10,42,611,72,490,49
,Total area actually reporting,0.997,1023,14,126,96,787,6303,1184,4759,360
,Estimated total,1,1026,14,126,97,789,6328,1188,4778,362
,"Rate per 100,000 inhabitants",,382.4,5.2,47,36.2,294.1,2358.6,442.8,1780.9,134.9
"Cumberland, MD-WV M.S.A.",,98752, ,,,,, ,,,
,"Includes Allegany County, MD and Mineral County, WV",,,,,,,,,,
,"City of Cumberland, MD",19995,177,1,13,53,110,1218,247,949,22
,Total area actually reporting,0.947,299,6,23,70,200,2333,457,1821,55
,Estimated total,1,314,6,25,72,211,2514,487,1962,65
,"Rate per 100,000 inhabitants",,318,6.1,25.3,72.9,213.7,2545.8,493.2,1986.8,65.8
"Dallas-Fort Worth-Arlington, TX M.S.A.2",,7219989,,,,,,,,,
,Includes the Metropolitan Divisions of Dallas-Plano-Irving and Fort Worth-Arlington,,,,,,,,,,
,City of Dallas,1320939,10071,171,767,4604,4529,44910,10948,26370,7592
,City of Fort Worth,851849,4483,66,499,1165,2753,28124,5316,20422,2386
,City of Arlington,392666,2188,21,307,557,1303,12383,2115,9189,1079
,City of Plano,288242,399,5,77,109,208,5479,903,4181,395
,City of Irving,240765,521,5,37,213,266,6490,1183,4674,633
,City of Denton,134054,349,5,95,73,176,3025,543,2313,169
,City of Richardson,113216,156,5,16,71,64,2473,389,1874,210
,Total area actually reporting,0.998,25941,368,3156,8962,13455,178513,34697,124766,19050
,Estimated total,1,25971,368,3160,8970,13473,178781,34740,124971,19070
,"Rate per 100,000 inhabitants",,359.7,5.1,43.8,124.2,186.6,2476.2,481.2,1730.9,264.1
"Dallas-Plano-Irving, TX M.D.",,4791249,,,,,,,,,
,"Includes Collin, Dallas, Denton, Ellis, Hunt, Kaufman, and Rockwall Counties",,,,,,,,,,
,Total area actually reporting,0.998,17064,250,1922,6762,8130,115705,23345,78386,13974
,Estimated total,1,17092,250,1926,6769,8147,115952,23385,78575,13992
,"Rate per 100,000 inhabitants",,356.7,5.2,40.2,141.3,170,2420.1,488.1,1640,292
"Fort Worth-Arlington, TX M.D.2",,2428740,,,,,,,,,
,"Includes Hood, Johnson, Parker, Somervell, Tarrant, and Wise Counties",,,,,,,,,,
,Total area actually reporting,0.999,8877,118,1234,2200,5325,62808,11352,46380,5076
,Estimated total,1,8879,118,1234,2201,5326,62829,11355,46396,5078
,"Rate per 100,000 inhabitants",,365.6,4.9,50.8,90.6,219.3,2586.9,467.5,1910.3,209.1
"Dalton, GA M.S.A.",,143925, ,,,,, ,,,
,Includes Murray and Whitfield Counties,,,,,,,,,,
,City of Dalton,33989,113,0,17,22,74,1103,209,834,60
,Total area actually reporting,0.996,988,0,158,67,763,4880,1178,3176,526
,Estimated total,1,991,0,158,68,765,4905,1182,3195,528
,"Rate per 100,000 inhabitants",,688.6,0,109.8,47.2,531.5,3408,821.3,2219.9,366.9
"Danville, IL M.S.A.",,78439, ,,,,, ,,,
,Includes Vermilion County,,,,,,,,,,
,City of Danville,31931,502,0,47,88,367,1894,646,1185,63
,Total area actually reporting,0.984,631,0,74,98,459,2720,913,1711,96
,Estimated total,1,634,0,74,99,461,2741,916,1728,97
,"Rate per 100,000 inhabitants",,808.3,0,94.3,126.2,587.7,3494.4,1167.8,2203,123.7
"Davenport-Moline-Rock Island, IA-IL M.S.A.4",,383016,,,,,,,,,
,"Includes Henry, Mercer, and Rock Island Counties, IL and Scott County, IA",,,,,,,,,,
,"City of Davenport, IA",103118,750,7,88,155,500,5001,1155,3436,410
,"City of Moline, IL",42517,196,0,26,19,151,1459,227,1205,27
,"City of Rock Island, IL",38543,158,4,6,23,125,1042,175,782,85
,Total area actually reporting,0.986,1496,12,185,238,1061,,,7660,602
,Estimated total,1,1506,12,186,240,1068,,,7733,607
,"Rate per 100,000 inhabitants",,393.2,3.1,48.6,62.7,278.8,,,2019,158.5
"Dayton, OH M.S.A.2",,800013, ,,,,, ,,,
,"Includes Greene, Miami, and Montgomery Counties",,,,,,,,,,
,City of Dayton,140260,1402,36,133,496,737,7235,2269,4252,714
,Total area actually reporting,0.969,2453,62,443,847,1101,22891,5289,15936,1666
,Estimated total,1,2491,63,451,860,1117,23434,5379,16367,1688
,"Rate per 100,000 inhabitants",,311.4,7.9,56.4,107.5,139.6,2929.2,672.4,2045.8,211
"Decatur, AL M.S.A.",,152077, ,,,,, ,,,
,Includes Lawrence and Morgan Counties,,,,,,,,,,
,City of Decatur,55374,154,5,9,43,97,2600,526,1918,156
,Total area actually reporting,0.993,346,5,29,53,259,3812,909,2660,243
,Estimated total,1,352,5,29,54,264,3848,916,2686,246
,"Rate per 100,000 inhabitants",,231.5,3.3,19.1,35.5,173.6,2530.3,602.3,1766.2,161.8
"Decatur, IL M.S.A.",,106100, ,,,,, ,,,
,Includes Macon County,,,,,,,,,,
,City of Decatur,72694,392,3,45,97,247,2657,859,1700,98
,Total area actually reporting,0.99,434,3,52,103,276,2954,926,1928,100
,Estimated total,1,436,3,52,104,277,2973,929,1943,101
,"Rate per 100,000 inhabitants", ,410.9,2.8,49,98,261.1,2802.1,875.6,1831.3,95.2
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",,631296,,,,,,,,,
,Includes Flagler and Volusia Counties,,,,,,,,,,
,City of Daytona Beach,65495,814,9,26,94,685,4197,572,3234,391
,City of Ormond Beach,41325,202,0,17,40,145,1602,312,1158,132
,Total area actually reporting,1,2471,19,168,369,1915,18058,3102,13650,1306
,"Rate per 100,000 inhabitants",,391.4,3,26.6,58.5,303.3,2860.5,491.4,2162.2,206.9
"Denver-Aurora-Lakewood, CO M.S.A.",,2868232,,,,,,,,,
,"Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas, Elbert, Gilpin, Jefferson, and Park Counties",,,,,,,,,,
,City of Denver,699259,4597,57,567,1160,2813,25101,4675,15638,4788
,City of Aurora,366477,1939,22,289,576,1052,11213,1698,7977,1538
,City of Lakewood,154553,875,4,144,174,553,8455,1014,6429,1012
,City of Broomfield,66953,36,0,16,2,18,1610,216,1236,158
,Total area actually reporting,0.999,11149,124,1919,2470,6636,84650,12492,58890,13268
,Estimated total,1,11156,124,1921,2471,6640,84729,12501,58950,13278
,"Rate per 100,000 inhabitants",,389,4.3,67,86.2,231.5,2954,435.8,2055.3,462.9
"Des Moines-West Des Moines, IA M.S.A.3",,632763, ,,,,, ,,,
,"Includes Dallas, Guthrie, Madison, Polk, and Warren Counties",,,,,,,,,,
,City of Des Moines,211501,1497,13,140,318,1026,8881,1944,5920,1017
,City of West Des Moines,65631,149,1,24,19,105,1513,147,1296,70
,Total area actually reporting,1,2352,25,267,386,1674,,3458,,1442
,"Rate per 100,000 inhabitants",,371.7,4,42.2,61,264.6,,546.5,,227.9
"Detroit-Warren-Dearborn, MI M.S.A.",,4302722,,,,,,,,,
,Includes the Metropolitan Divisions of Detroit-Dearborn-Livonia and Warren-Troy-Farmington Hills,,,,,,,,,,
,City of Detroit,669673,13705,303,579,2941,9882,31630,8787,13938,8905
,City of Warren,135620,691,6,118,125,442,3521,927,2082,512
,City of Dearborn,94646,348,1,30,80,237,2791,297,2167,327
,City of Livonia,94226,141,0,18,28,95,1694,295,1250,149
,City of Troy,83743,78,1,12,16,49,1336,94,1183,59
,City of Farmington Hills,81649,77,0,18,9,50,1050,145,834,71
,City of Southfield,73438,195,3,44,52,96,2158,353,1514,291
,City of Taylor,61290,372,2,37,83,250,1495,290,1042,163
,City of Pontiac,60003,749,15,66,121,547,1425,520,771,134
,City of Novi,59441,32,0,6,2,24,661,56,586,19
,Total area actually reporting,0.999,23903,389,2141,4653,16720,89693,18887,56067,14739
,Estimated total,1,23907,389,2142,4654,16722,89714,18890,56083,14741
,"Rate per 100,000 inhabitants",,555.6,9,49.8,108.2,388.6,2085.1,439,1303.4,342.6
"Detroit-Dearborn-Livonia, MI M.D.",,1747582,,,,,,,,,
,Includes Wayne County,,,,,,,,,,
,Total area actually reporting,1,18073,339,1104,3860,12770,54744,12845,30153,11746
,"Rate per 100,000 inhabitants",,1034.2,19.4,63.2,220.9,730.7,3132.6,735,1725.4,672.1
"Warren-Troy-Farmington Hills, MI M.D.",,2555140,,,,,,,,,
,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",,,,,,,,,,
,Total area actually reporting,0.999,5830,50,1037,793,3950,34949,6042,25914,2993
,Estimated total,1,5834,50,1038,794,3952,34970,6045,25930,2995
,"Rate per 100,000 inhabitants",,228.3,2,40.6,31.1,154.7,1368.6,236.6,1014.8,117.2
"Dothan, AL M.S.A.4",,148284, ,,,,, ,,,
,"Includes Geneva, Henry, and Houston Counties",,,,,,,,,,
,City of Dothan4,67835,,5,35,79,,2758,669,1928,161
,Total area actually reporting,0.994,,10,74,95,,4221,1072,2869,280
,Estimated total,1,,10,74,96,,4248,1077,2889,282
,"Rate per 100,000 inhabitants",,,6.7,49.9,64.7,,2864.8,726.3,1948.3,190.2
"Dover, DE M.S.A.",,175090, ,,,,, ,,,
,Includes Kent County,,,,,,,,,,
,City of Dover,37824,307,2,12,57,236,1880,100,1699,81
,Total area actually reporting,1,829,6,64,156,603,4399,652,3579,168
,"Rate per 100,000 inhabitants",,473.5,3.4,36.6,89.1,344.4,2512.4,372.4,2044.1,96
"Dubuque, IA M.S.A.",,97625, ,,,,, ,,,
,Includes Dubuque County,,,,,,,,,,
,City of Dubuque,59026,210,1,52,26,131,1832,408,1349,75
,Total area actually reporting,1,237,2,58,28,149,2054,485,1477,92
,"Rate per 100,000 inhabitants",,242.8,2,59.4,28.7,152.6,2104,496.8,1512.9,94.2
"Duluth, MN-WI M.S.A.",,279220, ,,,,, ,,,
,"Includes Carlton and St. Louis Counties, MN and Douglas County, WI",,,,,,,,,,
,"City of Duluth, MN",86090,312,1,51,64,196,3827,529,3162,136
,Total area actually reporting,1,642,3,126,92,421,8915,1374,7124,417
,"Rate per 100,000 inhabitants",,229.9,1.1,45.1,32.9,150.8,3192.8,492.1,2551.4,149.3
"East Stroudsburg, PA M.S.A.",,165226, ,,,,, ,,,
,Includes Monroe County,, ,,,,,,,,
,Total area actually reporting,1,416,10,73,80,253,3130,632,2403,95
,"Rate per 100,000 inhabitants",,251.8,6.1,44.2,48.4,153.1,1894.4,382.5,1454.4,57.5
"Eau Claire, WI M.S.A.2",,166178, ,,,,, ,,,
,Includes Chippewa and Eau Claire Counties,,,,,,,,,,
,City of Eau Claire,68084,141,1,18,17,105,1818,277,1481,60
,Total area actually reporting,1,230,5,38,20,167,2788,493,2187,108
,"Rate per 100,000 inhabitants",,138.4,3,22.9,12,100.5,1677.7,296.7,1316.1,65
"El Centro, CA M.S.A.",,180066, ,,,,, ,,,
,Includes Imperial County,,,,,,,,,,
,City of El Centro,44213,205,1,19,55,130,2314,506,1669,139
,Total area actually reporting,0.959,676,3,34,118,521,5195,1165,3483,547
,Estimated total,1,701,3,36,126,536,5372,1199,3597,576
,"Rate per 100,000 inhabitants",,389.3,1.7,20,70,297.7,2983.4,665.9,1997.6,319.9
"Elizabethtown-Fort Knox, KY M.S.A.",,148206, ,,,,, ,,,
,"Includes Hardin, Larue, and Meade Counties",,,,,,,,,,
,City of Elizabethtown,29821,68,2,15,17,34,476,107,329,40
,Total area actually reporting,1,181,3,40,52,86,1479,406,945,128
,"Rate per 100,000 inhabitants",,122.1,2,27,35.1,58,997.9,273.9,637.6,86.4
"Elmira, NY M.S.A.",,86124, ,,,,, ,,,
,Includes Chemung County,,,,,,,,,,
,City of Elmira,27995,97,2,2,34,59,1074,172,875,27
,Total area actually reporting,1,172,3,28,38,103,1892,270,1577,45
,"Rate per 100,000 inhabitants",,199.7,3.5,32.5,44.1,119.6,2196.8,313.5,1831.1,52.3
"El Paso, TX M.S.A.",,843018, ,,,,, ,,,
,Includes El Paso and Hudspeth Counties,,,,,,,,,,
,City of El Paso,687193,2682,17,314,476,1875,12357,1410,10135,812
,Total area actually reporting,0.999,3076,23,378,520,2155,14413,1784,11696,933
,Estimated total,1,3080,23,379,521,2157,14442,1789,11718,935
,"Rate per 100,000 inhabitants",,365.4,2.7,45,61.8,255.9,1713.1,212.2,1390,110.9
"Enid, OK M.S.A.",,63828, ,,,,, ,,,
,Includes Garfield County,,,,,,,,,,
,City of Enid,52240,214,2,29,27,156,2041,474,1489,78
,Total area actually reporting,1,233,2,35,27,169,2220,533,1590,97
,"Rate per 100,000 inhabitants",,365,3.1,54.8,42.3,264.8,3478.1,835.1,2491.1,152
"Erie, PA M.S.A.",,276700, ,,,,, ,,,
,Includes Erie County,,,,,,,,,,
,City of Erie,99019,353,10,46,115,182,2278,567,1607,104
,Total area actually reporting,1,594,11,100,157,326,5307,1077,4052,178
,"Rate per 100,000 inhabitants",,214.7,4,36.1,56.7,117.8,1918,389.2,1464.4,64.3
"Eugene, OR M.S.A.2",,367343, ,,,,, ,,,
,Includes Lane County,,,,,,,,,,
,City of Eugene,164883,602,6,95,137,364,6317,1062,4622,633
,Total area actually reporting,0.991,1172,7,174,208,783,12137,1994,9114,1029
,Estimated total,1,1178,7,175,209,787,12222,2004,9181,1037
,"Rate per 100,000 inhabitants",,320.7,1.9,47.6,56.9,214.2,3327.1,545.5,2499.3,282.3
"Evansville, IN-KY M.S.A.",,315875, ,,,,, ,,,
,"Includes Posey, Vanderburgh, and Warrick Counties, IN and Henderson County, KY",,, ,,,,,,,
,City of Evansville,119908,762,8,75,210,469,5881,1008,4490,383
,Total area actually reporting,0.979,1127,11,106,253,757,8462,1556,6375,531
,Estimated total,1,1144,11,107,257,769,8644,1577,6523,544
,"Rate per 100,000 inhabitants",,362.2,3.5,33.9,81.4,243.5,2736.5,499.2,2065.1,172.2
"Fairbanks, AK M.S.A.",,34657, ,,,,, ,,,
,Includes Fairbanks North Star Borough,,, ,,,,,,,
,City of Fairbanks,32456,223,7,31,31,154,1350,157,1069,124
,Total area actually reporting,1,232,7,35,32,158,1517,173,1207,137
,"Rate per 100,000 inhabitants",,669.4,20.2,101,92.3,455.9,4377.2,499.2,3482.7,395.3
"Fargo, ND-MN M.S.A.",,234910, ,,,,, ,,,
,"Includes Clay County, MN and Cass County, ND",,,,,,,,,,
,"City of Fargo, ND",121217,467,3,79,68,317,3843,566,2962,315
,Total area actually reporting,1,635,5,135,91,404,5807,974,4337,496
,"Rate per 100,000 inhabitants",,270.3,2.1,57.5,38.7,172,2472,414.6,1846.2,211.1
"Farmington, NM M.S.A.",,116108, ,,,,, ,,,
,Includes San Juan County,,,,,,,,,,
,City of Farmington,42270,293,1,70,52,170,1857,332,1354,171
,Total area actually reporting,1,1100,2,128,68,902,3174,729,2168,277
,"Rate per 100,000 inhabitants",,947.4,1.7,110.2,58.6,776.9,2733.7,627.9,1867.2,238.6
"Fayetteville, NC M.S.A.",,378409, ,,,,, ,,,
,Includes Cumberland and Hoke Counties,,,,,,,,,,
,City of Fayetteville,202200,1531,33,99,316,1083,9201,1868,6942,391
,Total area actually reporting,1,1982,44,123,415,1400,13168,3052,9577,539
,"Rate per 100,000 inhabitants",,523.8,11.6,32.5,109.7,370,3479.8,806.5,2530.9,142.4
"Flagstaff, AZ M.S.A.",,140312, ,,,,, ,,,
,Includes Coconino County,,,,,,,,,,
,City of Flagstaff,71179,265,0,26,30,209,2856,255,2542,59
,Total area actually reporting,1,512,3,72,43,394,4197,478,3614,105
,"Rate per 100,000 inhabitants",,364.9,2.1,51.3,30.6,280.8,2991.2,340.7,2575.7,74.8
"Flint, MI M.S.A.",,407879, ,,,,, ,,,
,Includes Genesee County,,,,,,,,,,
,City of Flint,97548,1545,45,96,249,1155,3323,1213,1867,243
,Total area actually reporting,1,2562,54,299,391,1818,9083,2420,6047,616
,"Rate per 100,000 inhabitants",,628.1,13.2,73.3,95.9,445.7,2226.9,593.3,1482.5,151
"Florence, SC M.S.A.",,207007, ,,,,, ,,,
,Includes Darlington and Florence Counties,,,,,,,,,,
,City of Florence,38382,408,1,20,73,314,2563,407,2026,130
,Total area actually reporting,0.994,1320,14,102,222,982,8787,2207,6028,552
,Estimated total,1,1326,14,103,223,986,8834,2214,6065,555
,"Rate per 100,000 inhabitants",,640.6,6.8,49.8,107.7,476.3,4267.5,1069.5,2929.9,268.1
"Florence-Muscle Shoals, AL M.S.A.",,146537, ,,,,, ,,,
,Includes Colbert and Lauderdale Counties,,,,,,,,,,
,City of Florence,40160,196,2,19,46,129,1400,242,1052,106
,City of Muscle Shoals,13810,54,0,5,6,43,588,108,443,37
,Total area actually reporting,0.998,428,4,42,72,310,3197,640,2275,282
,Estimated total,1,429,4,42,72,311,3207,642,2282,283
,"Rate per 100,000 inhabitants",,292.8,2.7,28.7,49.1,212.2,2188.5,438.1,1557.3,193.1
"Fond du Lac, WI M.S.A.",,101860, ,,,,, ,,,
,Includes Fond du Lac County,,,,,,,,,,
,City of Fond du Lac,42907,136,1,38,12,85,957,75,858,24
,Total area actually reporting,1,184,1,52,13,118,1377,149,1180,48
,"Rate per 100,000 inhabitants",,180.6,1,51.1,12.8,115.8,1351.9,146.3,1158.5,47.1
"Fort Collins, CO M.S.A.",,340447,,,,,,,,,
,Includes Larimer County,, ,,,,,,,,
,City of Fort Collins,164670,342,5,33,40,264,4036,451,3384,201
,Total area actually reporting,1,712,9,103,71,529,7524,909,6229,386
,"Rate per 100,000 inhabitants",,209.1,2.6,30.3,20.9,155.4,2210,267,1829.7,113.4
"Fort Smith, AR-OK M.S.A.",,279567, , ,,,, ,,,
,"Includes Crawford and Sebastian Counties, AR and Le Flore and Sequoyah Counties, OK",,,,,,,,,,
